name,position,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_2pt_conversions,target_share,fantasy_points,fantasy_points_ppr,games
Mike Evans,WR,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,173,1321,12,0,0,2,4.859920312819454,208.1,304.1,16
Mike Evans,WR,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,136,1001,5,1,0,1,3.6471836847431076,132.1,203.1,15
Mike Evans,WR,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,138,1524,8,1,1,0,3.642727088606421,198.4,284.40000000000003,16
Mike Evans,WR,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,118,1157,8,0,0,1,3.136481846118709,165.70000000000002,232.70000000000002,13
Mike Evans,WR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,109,1006,13,0,0,0,2.8602639032955257,178.6,248.6,16
Mike Evans,WR,2021,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,74,114,1035,14,0,0,0,2.6702531096609188,188.5,262.5,16
Mike Evans,WR,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,127,1124,6,0,0,0,2.9550831618169635,148.4,225.4,15
